urls,titre,editEvents_0_type,dateCreation,levelOfDescription,scopeAndContent,extentAndMedium,identifier
https://morphe-test.epfl.ch/index.php/306-5177-be-2-502-503-rez-de-chaussee-a3-dwg/edit,306-5177-BE-2-502-503_Rez-de-chaussée_A3.dwg (fichier numérique),creation,2004-11-05,item,Chemin d’accès du fichier sur le support original : réduction A3/306-5177-BE-2-502-503_Rez-de-chaussée_A3.dwg,1 fichier numérique AutoCAD Drawing de 1042442 octets,0219.01.0130/04.01.01.01
https://morphe-test.epfl.ch/index.php/306-5177-be-2-502-503-rez-de-chaussee-a3-dwg/edit?sf_culture=fr&template=isad,306-5177-BE-2-502-503_Rez-de-chaussée_A3.dwg (fichier numérique),creation,2004-11-05,item,Chemin d’accès du fichier sur le support original : réduction A3/306-5177-BE-2-502-503_Rez-de-chaussée_A3.dwg,1 fichier numérique AutoCAD Drawing de 1042442 octets,0219.01.0130/04.01.01.01
https://morphe-test.epfl.ch/index.php/306-5177-be-2-502-503-rez-de-chaussee-a3-dwg-2/edit?sf_culture=fr&template=isad,306-5177-BE-2-502-503_Rez-de-chaussée_A3.dwg (fichier numérique),creation,2003-03-13,item,Chemin d’accès du fichier sur le support original : archives/306-5177-BE-2-502-503_Rez-de-chaussée_A3.dwg,1 fichier numérique AutoCAD Drawing de 2734657 octets,0219.01.0130/04.01.01.02
